report_date,department,patient_count,avg_age,severity_distribution
2024-01-07,Oncology,47,38.4,"{'Mild': 23, 'Moderate': 16, 'Severe': 8}"
2024-01-07,Dermatology,6,34.0,"{'Mild': 2, 'Moderate': 4, 'Severe': 0}"
2024-01-07,Gastroenterology,12,49.2,"{'Mild': 7, 'Moderate': 2, 'Severe': 3}"
2024-01-07,Endocrinology,45,49.3,"{'Mild': 16, 'Moderate': 23, 'Severe': 6}"
2024-01-07,Psychiatry,37,54.1,"{'Mild': 20, 'Moderate': 13, 'Severe': 4}"
2024-01-08,Cardiology,30,49.5,"{'Mild': 18, 'Moderate': 10, 'Severe': 2}"
2024-01-08,Neurology,18,45.3,"{'Mild': 7, 'Moderate': 5, 'Severe': 6}"
2024-01-08,Pediatrics,27,49.2,"{'Mild': 13, 'Moderate': 11, 'Severe': 3}"
2024-01-08,Orthopedics,6,27.0,"{'Mild': 2, 'Moderate': 3, 'Severe': 1}"
2024-01-08,Oncology,36,45.9,"{'Mild': 15, 'Moderate': 16, 'Severe': 5}"
2024-01-08,Dermatology,37,43.3,"{'Mild': 18, 'Moderate': 16, 'Severe': 3}"
2024-01-08,Gastroenterology,5,47.4,"{'Mild': 0, 'Moderate': 1, 'Severe': 4}"
2024-01-08,Endocrinology,5,33.4,"{'Mild': 3, 'Moderate': 1, 'Severe': 1}"
2024-01-08,Psychiatry,15,47.2,"{'Mild': 5, 'Moderate': 9, 'Severe': 1}"
2024-01-09,Cardiology,48,40.5,"{'Mild': 26, 'Moderate': 14, 'Severe': 8}"
2024-01-09,Neurology,19,54.3,"{'Mild': 11, 'Moderate': 4, 'Severe': 4}"
2024-01-09,Pediatrics,48,48.8,"{'Mild': 23, 'Moderate': 15, 'Severe': 10}"
2024-01-09,Orthopedics,23,46.1,"{'Mild': 9, 'Moderate': 12, 'Severe': 2}"
2024-01-09,Oncology,30,53.3,"{'Mild': 14, 'Moderate': 11, 'Severe': 5}"
2024-01-09,Dermatology,34,50.1,"{'Mild': 15, 'Moderate': 15, 'Severe': 4}"
2024-01-09,Gastroenterology,22,38.9,"{'Mild': 8, 'Moderate': 9, 'Severe': 5}"
2024-01-09,Endocrinology,24,43.7,"{'Mild': 7, 'Moderate': 11, 'Severe': 6}"
2024-01-09,Psychiatry,23,36.9,"{'Mild': 14, 'Moderate': 8, 'Severe': 1}"
2024-01-10,Cardiology,30,40.2,"{'Mild': 22, 'Moderate': 6, 'Severe': 2}"
2024-01-10,Neurology,31,43.4,"{'Mild': 20, 'Moderate': 9, 'Severe': 2}"
2024-01-10,Pediatrics,28,48.4,"{'Mild': 14, 'Moderate': 10, 'Severe': 4}"
2024-01-10,Orthopedics,33,44.8,"{'Mild': 15, 'Moderate': 15, 'Severe': 3}"
2024-01-10,Oncology,9,37.0,"{'Mild': 4, 'Moderate': 3, 'Severe': 2}"
2024-01-10,Dermatology,50,47.7,"{'Mild': 19, 'Moderate': 21, 'Severe': 10}"
2024-01-10,Gastroenterology,7,46.9,"{'Mild': 3, 'Moderate': 3, 'Severe': 1}"
2024-01-10,Endocrinology,49,49.4,"{'Mild': 21, 'Moderate': 20, 'Severe': 8}"
2024-01-10,Psychiatry,15,53.5,"{'Mild': 2, 'Moderate': 11, 'Severe': 2}"
2024-01-11,Cardiology,31,43.3,"{'Mild': 18, 'Moderate': 6, 'Severe': 7}"
2024-01-11,Neurology,33,52.1,"{'Mild': 15, 'Moderate': 13, 'Severe': 5}"
2024-01-11,Pediatrics,5,50.2,"{'Mild': 3, 'Moderate': 2, 'Severe': 0}"
2024-01-11,Orthopedics,29,50.7,"{'Mild': 11, 'Moderate': 17, 'Severe': 1}"
2024-01-11,Oncology,14,48.3,"{'Mild': 6, 'Moderate': 6, 'Severe': 2}"
2024-01-11,Dermatology,29,47.2,"{'Mild': 13, 'Moderate': 11, 'Severe': 5}"
2024-01-11,Gastroenterology,8,26.8,"{'Mild': 4, 'Moderate': 4, 'Severe': 0}"
2024-01-11,Endocrinology,34,47.4,"{'Mild': 13, 'Moderate': 16, 'Severe': 5}"
2024-01-11,Psychiatry,29,50.1,"{'Mild': 11, 'Moderate': 12, 'Severe': 6}"
2024-01-12,Cardiology,31,41.9,"{'Mild': 20, 'Moderate': 8, 'Severe': 3}"
2024-01-12,Neurology,15,50.5,"{'Mild': 7, 'Moderate': 7, 'Severe': 1}"
2024-01-12,Pediatrics,7,38.3,"{'Mild': 2, 'Moderate': 2, 'Severe': 3}"
2024-01-12,Orthopedics,28,50.8,"{'Mild': 11, 'Moderate': 13, 'Severe': 4}"
2024-01-12,Oncology,32,44.9,"{'Mild': 13, 'Moderate': 13, 'Severe': 6}"
2024-01-12,Dermatology,16,58.5,"{'Mild': 8, 'Moderate': 4, 'Severe': 4}"
2024-01-12,Gastroenterology,22,41.3,"{'Mild': 8, 'Moderate': 10, 'Severe': 4}"
2024-01-12,Endocrinology,29,50.5,"{'Mild': 9, 'Moderate': 16, 'Severe': 4}"
2024-01-12,Psychiatry,35,48.6,"{'Mild': 13, 'Moderate': 17, 'Severe': 5}"
2024-01-13,Cardiology,12,39.1,"{'Mild': 6, 'Moderate': 3, 'Severe': 3}"
2024-01-13,Neurology,18,42.5,"{'Mild': 7, 'Moderate': 8, 'Severe': 3}"
2024-01-13,Pediatrics,10,46.7,"{'Mild': 6, 'Moderate': 2, 'Severe': 2}"
2024-01-13,Orthopedics,27,46.0,"{'Mild': 11, 'Moderate': 15, 'Severe': 1}"
2024-01-13,Oncology,50,40.6,"{'Mild': 23, 'Moderate': 22, 'Severe': 5}"
2024-01-13,Dermatology,20,46.9,"{'Mild': 11, 'Moderate': 5, 'Severe': 4}"
2024-01-13,Gastroenterology,12,41.5,"{'Mild': 4, 'Moderate': 5, 'Severe': 3}"
2024-01-13,Endocrinology,23,51.0,"{'Mild': 6, 'Moderate': 14, 'Severe': 3}"
2024-01-13,Psychiatry,40,49.3,"{'Mild': 19, 'Moderate': 15, 'Severe': 6}"
2024-01-14,Cardiology,23,44.0,"{'Mild': 15, 'Moderate': 5, 'Severe': 3}"
2024-01-14,Neurology,45,45.3,"{'Mild': 25, 'Moderate': 15, 'Severe': 5}"
2024-01-14,Pediatrics,49,40.7,"{'Mild': 26, 'Moderate': 11, 'Severe': 12}"
2024-01-14,Orthopedics,47,45.4,"{'Mild': 24, 'Moderate': 18, 'Severe': 5}"
2024-01-14,Oncology,20,43.5,"{'Mild': 9, 'Moderate': 8, 'Severe': 3}"
2024-01-14,Dermatology,14,40.4,"{'Mild': 7, 'Moderate': 5, 'Severe': 2}"
2024-01-14,Gastroenterology,21,43.4,"{'Mild': 7, 'Moderate': 11, 'Severe': 3}"
2024-01-14,Endocrinology,12,44.4,"{'Mild': 4, 'Moderate': 6, 'Severe': 2}"
2024-01-14,Psychiatry,46,47.3,"{'Mild': 18, 'Moderate': 21, 'Severe': 7}"
2024-01-15,Cardiology,7,41.4,"{'Mild': 7, 'Moderate': 0, 'Severe': 0}"
2024-01-15,Neurology,22,37.8,"{'Mild': 12, 'Moderate': 6, 'Severe': 4}"
2024-01-15,Pediatrics,15,43.6,"{'Mild': 7, 'Moderate': 6, 'Severe': 2}"
2024-01-15,Orthopedics,43,43.8,"{'Mild': 22, 'Moderate': 14, 'Severe': 7}"
2024-01-15,Oncology,33,40.9,"{'Mild': 17, 'Moderate': 11, 'Severe': 5}"
2024-01-15,Dermatology,47,49.6,"{'Mild': 27, 'Moderate': 16, 'Severe': 4}"
2024-01-15,Gastroenterology,17,31.1,"{'Mild': 6, 'Moderate': 8, 'Severe': 3}"
2024-01-15,Endocrinology,35,45.8,"{'Mild': 14, 'Moderate': 13, 'Severe': 8}"
2024-01-15,Psychiatry,46,49.4,"{'Mild': 18, 'Moderate': 19, 'Severe': 9}"
2024-01-16,Cardiology,41,42.3,"{'Mild': 26, 'Moderate': 6, 'Severe': 9}"
2024-01-16,Neurology,48,42.8,"{'Mild': 20, 'Moderate': 19, 'Severe': 9}"
2024-01-16,Pediatrics,13,38.5,"{'Mild': 6, 'Moderate': 2, 'Severe': 5}"
2024-01-16,Orthopedics,30,47.9,"{'Mild': 12, 'Moderate': 18, 'Severe': 0}"
2024-01-16,Oncology,16,33.9,"{'Mild': 9, 'Moderate': 6, 'Severe': 1}"
2024-01-16,Dermatology,12,40.3,"{'Mild': 4, 'Moderate': 4, 'Severe': 4}"
2024-01-16,Gastroenterology,40,43.4,"{'Mild': 14, 'Moderate': 21, 'Severe': 5}"
2024-01-16,Endocrinology,13,50.5,"{'Mild': 3, 'Moderate': 9, 'Severe': 1}"
2024-01-16,Psychiatry,13,36.1,"{'Mild': 4, 'Moderate': 7, 'Severe': 2}"
2024-01-17,Cardiology,26,45.1,"{'Mild': 17, 'Moderate': 5, 'Severe': 4}"
2024-01-17,Neurology,29,42.0,"{'Mild': 14, 'Moderate': 11, 'Severe': 4}"
2024-01-17,Pediatrics,14,49.9,"{'Mild': 5, 'Moderate': 6, 'Severe': 3}"
2024-01-17,Orthopedics,28,42.4,"{'Mild': 12, 'Moderate': 12, 'Severe': 4}"
2024-01-17,Oncology,40,37.6,"{'Mild': 16, 'Moderate': 17, 'Severe': 7}"
2024-01-17,Dermatology,35,45.0,"{'Mild': 17, 'Moderate': 12, 'Severe': 6}"
2024-01-17,Gastroenterology,6,42.5,"{'Mild': 1, 'Moderate': 5, 'Severe': 0}"
2024-01-17,Endocrinology,29,42.8,"{'Mild': 14, 'Moderate': 11, 'Severe': 4}"
2024-01-17,Psychiatry,41,48.0,"{'Mild': 18, 'Moderate': 18, 'Severe': 5}"
2024-01-18,Cardiology,7,46.6,"{'Mild': 3, 'Moderate': 3, 'Severe': 1}"
2024-01-18,Neurology,22,56.2,"{'Mild': 5, 'Moderate': 8, 'Severe': 9}"
2024-01-18,Pediatrics,24,52.7,"{'Mild': 13, 'Moderate': 10, 'Severe': 1}"
2024-01-18,Orthopedics,30,49.6,"{'Mild': 14, 'Moderate': 14, 'Severe': 2}"
2024-01-18,Oncology,34,41.9,"{'Mild': 16, 'Moderate': 13, 'Severe': 5}"
2024-01-18,Dermatology,6,52.3,"{'Mild': 3, 'Moderate': 3, 'Severe': 0}"
2024-01-18,Gastroenterology,49,38.0,"{'Mild': 13, 'Moderate': 25, 'Severe': 11}"
2024-01-18,Endocrinology,13,51.9,"{'Mild': 5, 'Moderate': 6, 'Severe': 2}"
2024-01-18,Psychiatry,50,43.5,"{'Mild': 23, 'Moderate': 20, 'Severe': 7}"
2024-01-19,Cardiology,12,42.5,"{'Mild': 8, 'Moderate': 2, 'Severe': 2}"
2024-01-19,Neurology,35,43.2,"{'Mild': 14, 'Moderate': 16, 'Severe': 5}"
2024-01-19,Pediatrics,18,43.0,"{'Mild': 7, 'Moderate': 7, 'Severe': 4}"
2024-01-19,Orthopedics,22,48.9,"{'Mild': 8, 'Moderate': 12, 'Severe': 2}"
2024-01-19,Oncology,7,37.6,"{'Mild': 3, 'Moderate': 4, 'Severe': 0}"
2024-01-19,Dermatology,34,55.3,"{'Mild': 15, 'Moderate': 11, 'Severe': 8}"
2024-01-19,Gastroenterology,24,50.8,"{'Mild': 7, 'Moderate': 15, 'Severe': 2}"
2024-01-19,Endocrinology,17,39.5,"{'Mild': 8, 'Moderate': 5, 'Severe': 4}"
2024-01-19,Psychiatry,7,40.7,"{'Mild': 4, 'Moderate': 2, 'Severe': 1}"
2024-01-20,Cardiology,9,33.6,"{'Mild': 5, 'Moderate': 2, 'Severe': 2}"
2024-01-20,Neurology,47,51.2,"{'Mild': 23, 'Moderate': 16, 'Severe': 8}"
2024-01-20,Pediatrics,30,45.9,"{'Mild': 18, 'Moderate': 7, 'Severe': 5}"
2024-01-20,Orthopedics,49,47.6,"{'Mild': 19, 'Moderate': 25, 'Severe': 5}"
2024-01-20,Oncology,34,43.9,"{'Mild': 15, 'Moderate': 16, 'Severe': 3}"
2024-01-20,Dermatology,15,36.5,"{'Mild': 9, 'Moderate': 5, 'Severe': 1}"
2024-01-20,Gastroenterology,50,46.7,"{'Mild': 14, 'Moderate': 23, 'Severe': 13}"
2024-01-20,Endocrinology,17,39.7,"{'Mild': 9, 'Moderate': 3, 'Severe': 5}"
2024-01-20,Psychiatry,6,46.3,"{'Mild': 3, 'Moderate': 1, 'Severe': 2}"
2024-01-21,Cardiology,24,42.5,"{'Mild': 14, 'Moderate': 4, 'Severe': 6}"
2024-01-21,Neurology,49,44.8,"{'Mild': 22, 'Moderate': 22, 'Severe': 5}"
2024-01-21,Pediatrics,43,52.2,"{'Mild': 18, 'Moderate': 15, 'Severe': 10}"
2024-01-21,Orthopedics,47,48.8,"{'Mild': 27, 'Moderate': 15, 'Severe': 5}"
2024-01-21,Oncology,39,40.0,"{'Mild': 16, 'Moderate': 16, 'Severe': 7}"
2024-01-21,Dermatology,32,45.7,"{'Mild': 15, 'Moderate': 11, 'Severe': 6}"
2024-01-21,Gastroenterology,29,46.8,"{'Mild': 7, 'Moderate': 15, 'Severe': 7}"
2024-01-21,Endocrinology,47,48.4,"{'Mild': 18, 'Moderate': 22, 'Severe': 7}"
2024-01-21,Psychiatry,38,48.6,"{'Mild': 17, 'Moderate': 14, 'Severe': 7}"
2024-01-22,Cardiology,50,40.6,"{'Mild': 31, 'Moderate': 13, 'Severe': 6}"
2024-01-22,Neurology,39,46.9,"{'Mild': 17, 'Moderate': 18, 'Severe': 4}"
2024-01-22,Pediatrics,28,47.6,"{'Mild': 11, 'Moderate': 9, 'Severe': 8}"
2024-01-22,Orthopedics,29,37.6,"{'Mild': 12, 'Moderate': 13, 'Severe': 4}"
2024-01-22,Oncology,42,49.8,"{'Mild': 19, 'Moderate': 19, 'Severe': 4}"
2024-01-22,Dermatology,46,47.7,"{'Mild': 22, 'Moderate': 17, 'Severe': 7}"
2024-01-22,Gastroenterology,31,53.3,"{'Mild': 7, 'Moderate': 17, 'Severe': 7}"
2024-01-22,Endocrinology,5,42.2,"{'Mild': 3, 'Moderate': 2, 'Severe': 0}"
2024-01-22,Psychiatry,23,51.4,"{'Mild': 13, 'Moderate': 6, 'Severe': 4}"
2024-01-23,Cardiology,36,38.6,"{'Mild': 24, 'Moderate': 7, 'Severe': 5}"
2024-01-23,Neurology,46,40.6,"{'Mild': 19, 'Moderate': 22, 'Severe': 5}"
2024-01-23,Pediatrics,31,48.6,"{'Mild': 16, 'Moderate': 9, 'Severe': 6}"
2024-01-23,Orthopedics,18,53.1,"{'Mild': 5, 'Moderate': 12, 'Severe': 1}"
2024-01-23,Oncology,49,44.4,"{'Mild': 22, 'Moderate': 20, 'Severe': 7}"
2024-01-23,Dermatology,19,52.9,"{'Mild': 8, 'Moderate': 9, 'Severe': 2}"
2024-01-23,Gastroenterology,34,40.6,"{'Mild': 7, 'Moderate': 19, 'Severe': 8}"
2024-01-23,Endocrinology,50,48.1,"{'Mild': 16, 'Moderate': 24, 'Severe': 10}"
2024-01-23,Psychiatry,22,55.1,"{'Mild': 9, 'Moderate': 13, 'Severe': 0}"
2024-01-24,Cardiology,34,46.8,"{'Mild': 23, 'Moderate': 8, 'Severe': 3}"
2024-01-24,Neurology,38,45.2,"{'Mild': 15, 'Moderate': 14, 'Severe': 9}"
2024-01-24,Pediatrics,42,47.1,"{'Mild': 22, 'Moderate': 13, 'Severe': 7}"
2024-01-24,Orthopedics,16,43.5,"{'Mild': 8, 'Moderate': 7, 'Severe': 1}"
2024-01-24,Oncology,41,48.5,"{'Mild': 19, 'Moderate': 16, 'Severe': 6}"
2024-01-24,Dermatology,28,45.8,"{'Mild': 15, 'Moderate': 9, 'Severe': 4}"
2024-01-24,Gastroenterology,37,42.2,"{'Mild': 12, 'Moderate': 16, 'Severe': 9}"
2024-01-24,Endocrinology,43,44.8,"{'Mild': 15, 'Moderate': 18, 'Severe': 10}"
2024-01-24,Psychiatry,50,41.7,"{'Mild': 24, 'Moderate': 16, 'Severe': 10}"
2024-01-25,Cardiology,49,42.7,"{'Mild': 29, 'Moderate': 9, 'Severe': 11}"
2024-01-25,Neurology,8,67.1,"{'Mild': 4, 'Moderate': 3, 'Severe': 1}"
2024-01-25,Pediatrics,45,51.8,"{'Mild': 20, 'Moderate': 15, 'Severe': 10}"
2024-01-25,Orthopedics,19,47.9,"{'Mild': 7, 'Moderate': 9, 'Severe': 3}"
2024-01-25,Oncology,16,34.3,"{'Mild': 3, 'Moderate': 11, 'Severe': 2}"
2024-01-25,Dermatology,44,40.5,"{'Mild': 22, 'Moderate': 14, 'Severe': 8}"
2024-01-25,Gastroenterology,19,45.1,"{'Mild': 5, 'Moderate': 10, 'Severe': 4}"
2024-01-25,Endocrinology,27,40.1,"{'Mild': 10, 'Moderate': 11, 'Severe': 6}"
2024-01-25,Psychiatry,13,54.2,"{'Mild': 8, 'Moderate': 4, 'Severe': 1}"
2024-01-26,Cardiology,31,36.6,"{'Mild': 20, 'Moderate': 7, 'Severe': 4}"
2024-01-26,Neurology,32,46.3,"{'Mild': 11, 'Moderate': 18, 'Severe': 3}"
2024-01-26,Pediatrics,38,39.5,"{'Mild': 20, 'Moderate': 8, 'Severe': 10}"
2024-01-26,Orthopedics,16,37.2,"{'Mild': 5, 'Moderate': 9, 'Severe': 2}"
2024-01-26,Oncology,40,41.2,"{'Mild': 16, 'Moderate': 20, 'Severe': 4}"
2024-01-26,Dermatology,18,51.7,"{'Mild': 7, 'Moderate': 3, 'Severe': 8}"
2024-01-26,Gastroenterology,32,47.9,"{'Mild': 9, 'Moderate': 20, 'Severe': 3}"
2024-01-26,Endocrinology,36,48.1,"{'Mild': 13, 'Moderate': 17, 'Severe': 6}"
2024-01-26,Psychiatry,24,42.8,"{'Mild': 7, 'Moderate': 10, 'Severe': 7}"
2024-01-27,Cardiology,6,37.7,"{'Mild': 4, 'Moderate': 2, 'Severe': 0}"
2024-01-27,Neurology,16,36.5,"{'Mild': 8, 'Moderate': 7, 'Severe': 1}"
2024-01-27,Pediatrics,34,49.7,"{'Mild': 20, 'Moderate': 9, 'Severe': 5}"
2024-01-27,Orthopedics,47,53.7,"{'Mild': 19, 'Moderate': 21, 'Severe': 7}"
2024-01-27,Oncology,5,28.0,"{'Mild': 1, 'Moderate': 3, 'Severe': 1}"
2024-01-27,Dermatology,28,47.4,"{'Mild': 18, 'Moderate': 7, 'Severe': 3}"
2024-01-27,Gastroenterology,46,42.7,"{'Mild': 17, 'Moderate': 20, 'Severe': 9}"
2024-01-27,Endocrinology,9,45.3,"{'Mild': 3, 'Moderate': 4, 'Severe': 2}"
2024-01-27,Psychiatry,38,46.8,"{'Mild': 17, 'Moderate': 17, 'Severe': 4}"
2024-01-28,Cardiology,47,40.5,"{'Mild': 31, 'Moderate': 10, 'Severe': 6}"
2024-01-28,Neurology,6,39.8,"{'Mild': 3, 'Moderate': 2, 'Severe': 1}"
2024-01-28,Pediatrics,9,51.1,"{'Mild': 4, 'Moderate': 5, 'Severe': 0}"
2024-01-28,Orthopedics,36,46.3,"{'Mild': 20, 'Moderate': 13, 'Severe': 3}"
2024-01-28,Oncology,10,50.6,"{'Mild': 3, 'Moderate': 5, 'Severe': 2}"
2024-01-28,Dermatology,33,47.6,"{'Mild': 19, 'Moderate': 8, 'Severe': 6}"
2024-01-28,Gastroenterology,28,46.3,"{'Mild': 13, 'Moderate': 14, 'Severe': 1}"
2024-01-28,Endocrinology,41,47.2,"{'Mild': 17, 'Moderate': 18, 'Severe': 6}"
2024-01-28,Psychiatry,5,47.6,"{'Mild': 1, 'Moderate': 2, 'Severe': 2}"
2024-01-29,Cardiology,33,40.5,"{'Mild': 20, 'Moderate': 9, 'Severe': 4}"
2024-01-29,Neurology,18,43.3,"{'Mild': 9, 'Moderate': 7, 'Severe': 2}"
2024-01-29,Pediatrics,28,48.6,"{'Mild': 12, 'Moderate': 10, 'Severe': 6}"
2024-01-29,Orthopedics,40,45.8,"{'Mild': 18, 'Moderate': 20, 'Severe': 2}"
2024-01-29,Oncology,16,52.4,"{'Mild': 9, 'Moderate': 5, 'Severe': 2}"
2024-01-29,Dermatology,31,46.3,"{'Mild': 12, 'Moderate': 11, 'Severe': 8}"
2024-01-29,Gastroenterology,31,41.5,"{'Mild': 11, 'Moderate': 17, 'Severe': 3}"
2024-01-29,Endocrinology,25,55.1,"{'Mild': 9, 'Moderate': 9, 'Severe': 7}"
2024-01-29,Psychiatry,25,46.4,"{'Mild': 9, 'Moderate': 11, 'Severe': 5}"
2024-01-30,Cardiology,25,40.2,"{'Mild': 13, 'Moderate': 9, 'Severe': 3}"
2024-01-30,Neurology,37,50.7,"{'Mild': 18, 'Moderate': 14, 'Severe': 5}"
2024-01-30,Pediatrics,40,48.4,"{'Mild': 15, 'Moderate': 15, 'Severe': 10}"
2024-01-30,Orthopedics,18,36.3,"{'Mild': 9, 'Moderate': 6, 'Severe': 3}"
2024-01-30,Oncology,42,43.7,"{'Mild': 24, 'Moderate': 15, 'Severe': 3}"
2024-01-30,Dermatology,29,44.3,"{'Mild': 13, 'Moderate': 13, 'Severe': 3}"
2024-01-30,Gastroenterology,13,45.4,"{'Mild': 5, 'Moderate': 6, 'Severe': 2}"
2024-01-30,Endocrinology,20,48.2,"{'Mild': 7, 'Moderate': 10, 'Severe': 3}"
2024-01-30,Psychiatry,15,45.5,"{'Mild': 8, 'Moderate': 5, 'Severe': 2}"
2024-01-31,Cardiology,48,43.8,"{'Mild': 23, 'Moderate': 14, 'Severe': 11}"
2024-01-31,Neurology,14,45.4,"{'Mild': 7, 'Moderate': 4, 'Severe': 3}"
2024-01-31,Pediatrics,44,47.5,"{'Mild': 23, 'Moderate': 13, 'Severe': 8}"
2024-01-31,Orthopedics,40,47.8,"{'Mild': 17, 'Moderate': 17, 'Severe': 6}"
2024-01-31,Oncology,45,47.5,"{'Mild': 15, 'Moderate': 24, 'Severe': 6}"
2024-01-31,Dermatology,49,47.6,"{'Mild': 19, 'Moderate': 17, 'Severe': 13}"
